version,target_ret_annual,is_ret_annual,oos_ret_annual,is_std_annual,oos_std_annual,is_maxdd,oos_maxdd,is_sharpe,oos_sharpe,is_active_ratio,oos_active_ratio,w_3105.TWO,w_3037.TW,w_6515.TW,w_00981A.TW,w_2383.TW,w_3081.TWO,w_6274.TWO,w_2454.TW
B,-0.005828039082669665,0.22632183266270567,1.3131316957209556,0.09156310087616144,0.25939423127953926,-0.029379400766082326,-0.07036878924752593,2.471758060802294,5.06230107448243,0.6411764705882353,1.0,0.04806097564537972,0.005663072486471423,0.0377647641121344,0.6422176579510721,0.0,0.0,0.0,0.26629352980494236
B,0.02766641060992304,0.2263218506038035,1.3131316932149557,0.09156310208932332,0.2593942309248949,-0.02937939973526522,-0.07036878976021665,2.471758223995271,5.06230107174265,0.6411764705882353,1.0,0.04806098495091976,0.005663080157930402,0.03776476654428098,0.6422176528175632,0.0,0.0,0.0,0.2662935155293057
B,0.061160860302515746,0.22632187196758013,1.313131690227625,0.09156310353421857,0.2593942305030664,-0.02937939850812283,-0.07036879037121353,2.4717584183131156,5.062301068458429,0.6411764705882353,1.0,0.0480609960405409,0.005663089291085691,0.03776476943490192,0.6422176467088244,0.0,0.0,0.0,0.2662934985246471
B,0.09465530999510845,0.22632190947416672,1.3131316850025165,0.0915631060705995,0.2593942297638594,-0.02937939635512582,-0.07036879144446612,2.471758759468708,5.062301062741185,0.6411764705882353,1.0,0.048061015520782284,0.005663105323711451,0.037764774505168755,0.6422176359603873,0.0,0.0,0.0,0.26629346868995013
B,0.12814975968770115,0.22632194288857913,1.3131316803137396,0.09156310833186894,0.2593942291060982,-0.029379394437138454,-0.07036879240229897,2.471759063358564,5.062301057502087,0.6411764705882353,1.0,0.04806103290450129,0.005663119600596174,0.03776477900186717,0.6422176264265036,0.0,0.0,0.0,0.26629344206653166
B,0.16164420938029384,0.25209521119688,1.3187523246971684,0.09297441657199342,0.2587071522231858,-0.02780841444729331,-0.07057290847948572,2.711447089336384,5.0974714590012,0.6411764705882353,1.0,0.05397885379611882,0.017086392683187658,0.047560352297533845,0.623975299923312,0.0,0.0,0.0,0.2573991012998474
B,0.19513865907288655,0.30432388590128084,1.3301433011906467,0.09654657551538777,0.2581389687819967,-0.027056432982940776,-0.07098733443121893,3.1520940465959577,5.152818683156584,0.6411764705882353,1.0,0.0659705799705829,0.04023535899947353,0.067411205958,0.587006704182833,0.0,0.0,0.0,0.23937615088911054
B,0.22863310876547926,0.35658137929680783,1.3415430503612458,0.10098813838684183,0.2586794845869344,-0.027953810146884597,-0.0714029898655368,3.530923383604706,5.186120779943001,0.6411764705882353,1.0,0.07796733452425496,0.06339729546665264,0.08727433352916475,0.5500147094134391,0.0,0.0,0.0,0.2213463270664884
B,0.262127558458072,0.40882277946440265,1.352937878851795,0.10618703356409086,0.26032191142811767,-0.0288521917646753,-0.07181968580931533,3.850025429118436,5.197172498579244,0.6411764705882353,1.0,0.08996131504408272,0.08655198801385583,0.10713058004829784,0.5130358058346975,0.0,0.0,0.0,0.20332031105906606
B,0.2956220081506647,0.4610593510620945,1.364330633809903,0.11203836028499728,0.26304528657988263,-0.029793472872820966,-0.07223746209264732,4.115191885076468,5.186675844106325,0.6411764705882353,1.0,0.1019543979924119,0.10970447603767583,0.12698476206393472,0.4760615758964665,0.0,0.0,0.0,0.18529478800951102
B,0.3291164578432574,0.5133009801203104,1.375726300913509,0.11844641834404705,0.2668169400130473,-0.030868000778442824,-0.07265637082669342,4.333613352742702,5.156068054922736,0.6411764705882353,1.0,0.11394847124147225,0.13285931893433525,0.1468411246130867,0.4390815385362607,6.473065514242825e-08,0.0,6.799165700604516e-08,0.16726941395253297
B,0.3626109075358501,0.5655400018904714,1.38712011780156,0.12532508149511337,0.2715928099953954,-0.032420250183332076,-0.07331060094959768,4.512584353775367,5.107352134340659,0.6411764705882353,1.0,0.12594201929159912,0.15601291291966318,0.1666963571301946,0.4021049209234781,1.4188113659263448e-08,0.0,6.396752644016554e-09,0.14924376915019863
B,0.3961053572284428,0.617776581105522,1.398523814725537,0.132600832266995,0.2773204583030937,-0.034212441821648426,-0.07457971640348116,4.658919333640484,5.042988257278297,0.6411764705882353,1.0,0.137936517022595,0.17916518899901113,0.18655098661166353,0.3651173408713024,0.0,0.0,0.0,0.13122996649542798
B,0.4295998069210355,0.6700155479797936,1.4099189835660246,0.14021283899865622,0.28394342869277306,-0.03600305084299533,-0.07584787015264689,4.77856059947702,4.965492563279419,0.6411764705882353,1.0,0.14993022093610692,0.2023187364087486,0.20640625680630123,0.32813910655374234,0.0,0.0,0.0,0.1132056792951009
B,0.46309425661362824,0.7222565031050345,1.4213036432109716,0.1481093375455757,0.29140114018883057,-0.037792106531719244,-0.0771150363974742,4.876508902639472,4.877481406867365,0.6411764705882353,1.0,0.1619227700378353,0.2254735130674688,0.22626188132362426,0.2911727654913389,0.0,0.0,0.0,0.09516907007973269
B,0.4965887063062209,0.7744671837935418,1.4337328321360658,0.15622335965851755,0.2995566808094109,-0.039553235759061736,-0.0783917593419071,4.957435209986643,4.786182128410816,0.6411764705882353,1.0,0.17404867278718944,0.24859736843430788,0.2461429243715667,0.2529444132580077,0.0,0.0,0.0,0.07826662114892823
B,0.5300831559988136,0.8267070370130578,1.445232851191189,0.1645644240687029,0.3084794768579282,-0.04133577993615005,-0.07965827527751744,5.023607269259615,4.685021077939647,0.6411764705882353,1.0,0.18605608064575757,0.27175011940299076,0.2660021263827966,0.21583755966176849,0.0,0.0,0.0,0.06035411390668659
B,0.5635776056914064,0.8789699759935965,1.4555141349982204,0.17310511551521546,0.3181534995036368,-0.04314633072828868,-0.0809113939440878,5.077666095409742,4.574880167180378,0.6411764705882353,1.0,0.19790670129324164,0.294932088882615,0.2858272580646004,0.18020910756398736,0.0,0.0,0.0,0.04112484419555553
B,0.597072055383999,0.9312066176507283,1.4669453156782044,0.18177270231745216,0.32833106968539905,-0.04492662386511908,-0.08217527096188482,5.122917829677456,4.467884556535588,0.6411764705882353,1.0,0.20990481593445198,0.31808394595410067,0.30568291558467814,0.14318794638536278,0.0,0.0,0.0,0.02314037614140637
B,0.6305665050765917,0.9834455564141923,1.4783444300746476,0.19057148820442602,0.33905132344367406,-0.04670589141192214,-0.08343793852081485,5.160507301906833,4.360237898673892,0.6411764705882353,1.0,0.22189899543602204,0.34123749309728374,0.3255382871498013,0.1062048765239577,0.0,0.0,0.0,0.005120347792935297
B,0.6640609547691844,1.0356924392250426,1.5016153808086177,0.19927523988224674,0.348994986617667,-0.04816797419788531,-0.08481012128112825,5.197296161013487,4.302684675678955,0.6411764705882353,1.0,0.23450224495298544,0.3643418685730565,0.34642283232169135,0.05473155074872479,4.216428447461463e-07,2.9702159511716526e-07,3.889373573494783e-07,3.9580174468601676e-07
B,0.6975554044617771,1.0878670000519135,1.5285664785166784,0.20772724158300548,0.3574486701535673,-0.049269110321690505,-0.08600360787359868,5.236997284331694,4.276324424035414,0.6411764705882353,1.0,0.2399257818212594,0.3858540794420948,0.3742201387366459,0.0,0.0,0.0,0.0,0.0
