version,target_ret_annual,is_ret_annual,oos_ret_annual,is_std_annual,oos_std_annual,is_maxdd,oos_maxdd,is_sharpe,oos_sharpe,w_3105.TWO,w_3037.TW,w_6515.TW,w_00981A.TW,w_2383.TW,w_3081.TWO,w_6274.TWO,w_2454.TW
A,-0.03257633895021782,0.14644309225011615,1.6333848875300796,0.08748181973502546,0.25938519757742223,-0.03487274430307892,-0.07147439890765273,1.6739831509412935,6.2971399400790435,0.04124104684657752,0.059597802493879734,0.08121307470427441,0.3365637524856496,0.06496072753680028,0.1119648104231449,0.01439991944910474,0.29005886606056863
A,0.0062676308846805195,0.14644309390352486,1.63338488444334,0.08748181946121411,0.2593851976539478,-0.03487274416176224,-0.07147439893890221,1.6739831750807581,6.297139926321004,0.041241046667362224,0.059597803666758174,0.0812130774031361,0.3365637541073806,0.06496072648361745,0.11196481110816418,0.014399913233157905,0.2900588673304233
A,0.04511160071957886,0.14644309535277675,1.6333848876283428,0.08748181987625761,0.25938519737919313,-0.034872744445836955,-0.07147439893702828,1.6739831837051335,6.297139945270318,0.04124104659385315,0.059597802875339244,0.08121307756033999,0.3365637516916406,0.06496072479330187,0.1119648097944164,0.014399921792641008,0.2900588648984678
A,0.08395557055447718,0.1464430971950632,1.633384894743747,0.08748182076394026,0.25938519694951667,-0.03487274495665781,-0.07147439892292443,1.6739831877782156,6.297139983133454,0.041241048153089266,0.05959780058324017,0.08121307584081248,0.3365637465028937,0.06496072239793955,0.11196480704371775,0.01439993957072216,0.29005885990758484
A,0.12279954038937552,0.1464430993061526,1.6333848947633445,0.08748182092234602,0.2593851970910951,-0.03487274485884548,-0.0714743989035699,1.6739832088788373,6.297139979771884,0.04124105243433364,0.05959780062262676,0.08121307631222272,0.3365637451961444,0.06496072379537081,0.11196480701408751,0.014399936313064299,0.29005885831214995
A,0.16164351022427387,0.16074803300488127,1.6377894181224504,0.08852022965490267,0.2588462133274988,-0.03576765628843612,-0.07157627990057369,1.815946859057638,6.3272682148541906,0.04562456339894723,0.06713991405678951,0.09028501963897011,0.32738944036022555,0.06001030629535322,0.10708059427704436,0.017199928234194875,0.28527023373847527
A,0.20048748005917216,0.19703326248587621,1.648956425661837,0.09176368483621658,0.2581021062541539,-0.038036108750002295,-0.07183743251612484,2.14718123882611,6.388775549309561,0.05674448390146994,0.08626875489869572,0.11329750049485528,0.30412398074454716,0.0474522101243416,0.09469106438479466,0.02429944526841915,0.27312256018287645
A,0.23933144989407054,0.2384070599021364,1.6617128814132613,0.09643497665011876,0.25835039693897477,-0.040621107632920456,-0.07213900400083292,2.4722052950467823,6.432012108755445,0.06941978663702489,0.10808923570794733,0.1395326135723902,0.2775711551324645,0.03313740466429404,0.08056577775826194,0.03240841537784253,0.25927561114977443
A,0.27817541972896886,0.2776424005173534,1.673804266963606,0.10169635738901124,0.259662313255381,-0.04306992830080518,-0.07242956592012147,2.7301115560639926,6.4460808577846995,0.08144095480032951,0.12877966710735414,0.1644128595582652,0.2523967814717971,0.01956139486605474,0.0671701611384889,0.04009485572493801,0.2461433253327722
A,0.31701938956386716,0.31694434365594537,1.6859175596936156,0.10765761608948463,0.26201112476798183,-0.04552063376434418,-0.07272487768802947,2.9440029899278315,6.434526630067874,0.0934822917632472,0.14950575740346983,0.18933506916942489,0.22717821489817774,0.0059626028091220576,0.0537519079543001,0.04779514892687158,0.23298900707538675
A,0.35586335939876557,0.35585875523731664,1.7007366264598212,0.11437042840986915,0.265185041823415,-0.04805127995303622,-0.07289395286803597,3.111457744671779,6.413395773628629,0.10538646919327209,0.17002081696991947,0.2149521961670065,0.19910510638828305,0.0,0.03964877614645482,0.053575601149442986,0.21731103398562107
A,0.39470732923366386,0.39470337054712695,1.7177707354380087,0.12172421752803755,0.26937573998755887,-0.050658166285055276,-0.0729669435117846,3.2426034733491904,6.376857602385961,0.11725453013612702,0.19049393720459845,0.24126977238272063,0.1686200318276646,0.0,0.024923042879243323,0.057882365080841734,0.1995563204888044
A,0.43355129906856216,0.43355036143340886,1.734805556639983,0.1294623152252104,0.27470334953168707,-0.053261208146826694,-0.0730457360743073,3.3488537624189108,6.315196227484925,0.1291233461206585,0.21096819398567496,0.2675890601089297,0.13813341841506482,0.0,0.01019639762778011,0.0621890972628002,0.18180048647909167
A,0.4723952689034605,0.47238183535731604,1.7537058532449514,0.13760215669530212,0.2813465715536265,-0.05572013360112809,-0.0729231421094737,3.4329537174575666,6.233258303311805,0.14070116785222148,0.23123725073710738,0.29431004206854,0.10547062604242485,0.0,0.0,0.06578537251362156,0.16249554078608466
A,0.5112392387383589,0.5112314689037272,1.776834116431748,0.1462212953645884,0.28964133830882216,-0.05786361144122383,-0.07233675332476847,3.4962860069665083,6.134601251349168,0.1516378007454138,0.25107093362431465,0.32197488224259807,0.06785980058910746,0.0,0.0,0.067781035556839,0.13967554724172718
A,0.5500832085732572,0.5500639143302611,1.7999528383349221,0.15507955685474648,0.2989838733786431,-0.060004142615446926,-0.07175263995894568,3.5469788893288645,6.020233860758778,0.16256999526279792,0.27089602160072457,0.3496268628297995,0.030265238486565142,0.0,0.0,0.06977715019790325,0.11686473162220964
A,0.5889271784081556,0.5889006360040501,1.817221481345558,0.1642141265634081,0.3096386445248227,-0.06231369344989517,-0.07141342382139046,3.586175247698056,5.868845873984174,0.17341528791759908,0.2902745756651118,0.3781889798295143,0.0,0.0,0.0,0.06924413782453978,0.088877018763235
A,0.6277711482430539,0.6277709749524067,1.810330344588377,0.17400145906508233,0.32325740017739174,-0.06532674988455205,-0.07208004387518545,3.6078489130231923,5.60027502416011,0.1839063569549009,0.30781843725890856,0.4105217733979712,0.0,0.0,0.0,0.058261608093242,0.039491824294977246
