id,category,name,desc,alias,waste,kcal,kcal_adj,water,protein,fat,satfat,carb,fiber,sugar,sodium,vitA,vitC,potassium,calcium,magnesium,iron,zinc
E2600201,蔬菜類,韮菜,"樣品狀態:生; 前處理描述:去腐葉,混合均勻打碎","韮,塊莖蒜,起陽草(韮/韭通用)",3.2,23.0272,18.3977,93.0424,1.8953,0.3507,0.1307,3.8785,2.4366,1.051,2.3307,,0.1237,312.2502,55.7708,17.8617,1.4063,0.3732
E2600301,蔬菜類,韮黃,"樣品狀態:生; 前處理描述:去腐葉,混合均勻打碎","韮黃,黃韮菜,白韮菜,軟化韮菜(韮/韭通用)",6.0,16.2344,13.093,95.1187,1.478,0.1215,,2.909,1.6534,,3.3924,,0.1165,157.7271,19.0829,10.2462,0.5569,0.2481
E2700101,蔬菜類,九層塔,"樣品狀態:生; 前處理描述:去粗梗,混合均勻打碎","千層塔,羅勒,家佩蘭,零陵菜,香菜(草),薰草,西王母菜,塞香菜,光明子,醒頭香",23.7,27.3979,20.899,91.0,2.904,0.2916,0.101,4.4484,3.4205,0.083,1.6471,,0.323,347.1366,190.8015,41.7271,4.6579,0.5508
E2800101,蔬菜類,小麥苗,樣品狀態:生; 前處理描述:混合均勻打碎,,,34.0464,26.5813,89.599,3.326,0.4841,0.0992,5.4565,3.929,0.0,3.064,,0.177,446.071,58.487,23.233,1.582,0.911
E2900101,蔬菜類,水菜(日本種),"樣品狀態:生; 前處理描述:去根部,混合均勻打碎",,19.3,10.9221,8.3484,95.658,1.164,0.201,0.0821,1.5872,1.3546,0.0,2.294,,0.076,287.547,124.72,24.548,1.002,0.72
E30001,蔬菜類,甘藍平均值,"樣品狀態:生; 前處理描述:去粗莖,混合均勻打碎","高麗菜,包菜,洋白菜,玻璃菜,玉菜,捲心菜,球葉甘藍,結球甘藍,蕃芥藍",9.0,23.1788,21.0991,93.2432,1.308,0.1439,,4.7557,1.0946,2.732,10.5289,,0.1723,186.7937,47.4817,11.6265,0.4498,0.3385
E3000101,蔬菜類,梨山甘藍(尖球形),"樣品狀態:生,尖球形; 前處理描述:去粗莖,混合均勻打碎","高麗菜,包菜,洋白菜,玻璃菜,玉菜,捲心菜,球葉甘藍,結球甘藍,蕃芥藍",9.2,24.058,22.0826,92.929,1.402,0.0614,,5.0951,1.0397,,8.3789,,0.27,204.7056,36.2028,12.3714,0.6573,0.4523
E3000102,蔬菜類,甘藍(扁圓形),"樣品狀態:生,扁圓形; 前處理描述:去粗莖,混合均勻打碎","高麗菜,包菜,洋白菜,玻璃菜,玉菜,捲心菜,球葉甘藍,結球甘藍,蕃芥藍",5.4,21.0373,19.2973,93.899,1.09,0.1754,,4.2855,0.9158,2.732,12.208,,0.08,172.5815,57.5715,11.1505,0.3165,0.225
E3000103,蔬菜類,甘藍(圓球形),"樣品狀態:生,圓球形; 前處理描述:去粗莖,混合均勻打碎","高麗菜,包菜,洋白菜,玻璃菜,玉菜,捲心菜,球葉甘藍,結球甘藍,蕃芥藍",10.7,24.4409,21.9173,92.9015,1.432,0.1949,,4.8866,1.3282,,10.9997,,0.167,183.094,48.6709,11.3577,0.3755,0.3383
E3000104,蔬菜類,甘藍(圓球形)(2021年取樣),"樣品狀態:生,圓球形; 前處理描述:去粗莖,混合均勻打碎",高麗菜,10.0,20.2123,18.2126,94.07,0.842,0.0,0.0,4.617,1.0525,3.426,3.47,0.0962,0.0,175.5,47.21,9.88,0.44,0.0
